Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
SLC36A1	MYNN	CAPN14	PFKFB4	CAHM	AIMP1	LOC391322	ARMCX3
LOC388813	LRWD1	CSF1R	ZNF587B	USP28	SNX19	ARL16	ERICH1-AS1
LIN54	TMEM191A	LOC284801	TPR	SOX9	C2orf49	DNAJC27-AS1	ETFDH
PGBD3	PLGLB2	PPP1R2P3	C9orf64	KLRC1	C2orf76	PANK1	KANSL1L
PFKFB1	OR51I1	FAM22G	HIST1H1A	STX17	VDAC3	ATP1B4	MIDN
MIR4687	GDEP	DPY19L2P1	C3orf17	NIPSNAP3B	SHQ1	FBXO30	HAAO
TRIML2	CT45A1	SLC39A8	SDCCAG3	ZBTB18	SHOX2	C1orf140	GATAD2B
ORC1	OR6C76	COL8A2	TRIM35	RWDD3	FBXO31	HSPA14	C9orf123
ZNF740	RPL23AP7	KIR2DS4	CABYR	RAPGEF6	MRAP2	XXYLT1	DPP9
E2F8	SNORD11B	OR5W2	BTRC	RPL13AP6	ZNF823	CYP2B7P1	TMCC3
DHRS4L1	LOC284100	PIEZO1	SSX1	CCDC127	LRRC48	VMAC	PGPEP1L
QRFP	PITX1	LOC100506795	TOPORS	ANKRD12	IRF2BPL	STAR	CLDN10
BRAP	FAM194A	PPP2R5A	SURF4	DCP2	PAPSS2	PDSS2	GRAPL
TUBA3D	ZDBF2	DCC	C18orf8	TNFRSF17	SDCBP2	TNS4	CEP350
ZNF781	ZSCAN5B	UGT2A3	BOLA3-AS1	LRBA	FRS2	RAD51L3-RFFL	SYF2
ADAM20	EPPK1	NETO1	RASA3	ZNF567	NCOR2	GDNF	WIZ
ZNF800	OR6C4	CROCC	TRIM26	BTN2A1	CHERP	GOLGA3	PRKRIP1
DHFR	TPTE2	TMEM245	USP40	SNORA24	B3GALTL	RAD9A	EFCC1
SAC3D1	DCD	ADAMTSL5	RABEP1	ELMSAN1	STRN3	A1BG-AS1	PLCG1
MEOX1	MYRF	NIP7	TAF10	ZNF296	SRFBP1	SNHG4	TP53BP2
SEMA7A	KRT31	LUZP1	OLIG1	M1AP	LOC100133091	LOC401557	EBF4
PPIAL4B	C20orf195	C11orf93	SRPK2	CCDC69	TUT1	AIPL1	R3HCC1
SNORA78	SUV420H1	NPY6R	LRIF1	PAG1	ERP29	DDX51	PIP5KL1
SNORD59B	GCSAML-AS1	LOC100130855	KLHL35	SAMD4A	CAD	TMEM198B	BCRP3
DYM	SNORD84	WDR27	TPRA1	RNF167	WNT5A	C5	ZNF334
MIR4680	PRSS1	SERTM1	ZNF580	CDK19	APOOL	FBXO11	SEMA3F
ADORA2A-AS1	TLL2	C20orf173	TMEM218	SP4	RAB31	FLVCR1	UNC5C
KIF5A	CLDN10-AS1	LOC100128264	LTBP4	GYLTL1B	TMCO4	OAT	NPEPPS
KLHL25	RAB3GAP2	CDR2	CROCCP2	TESPA1	ACTN2	EXOSC2	C8orf58
HDX	NME9	BEX5	KPNA1	ARRDC5	CLK2	APPL2	ASPA
CACNA1H	KLHL1	LOC645949	ZNF426	S100PBP	TGIF2-C20orf24	CRTAP	MAPRE3
BMS1P2	PRAP1	ANKRD20A4	FAM21C	FAM109A	VPS36	LOC728730	NAMPT
TMEM239	MIR4644	CLDN7	KCTD5	IL9R	OCRL	CRISPLD2	RBBP8
SUSD4	HOXA13	SCN4A	MAN1B1	APOBEC3F	INTS12	IL23R	CDK10
KIAA0100	OR8K1	VRTN	HOXB6	FAM117A	C2orf44	LOC286189	MS4A1
MIR324	NBEAP1	GHDC	TMEM126B	RIC3	LRRC14	PAXBP1	NXT1
MIR302C	FBXO24	BAGE	TMEM192	CHMP7	EFTUD1P1	C10orf32	PPP4R1L
DHX35	SLC22A2	TMEM150C	PHKA2	CWF19L2	ZNF660	ZNF345	USP46
TNNC1	PRSS58	NEUROD4	POGZ	NINJ1	MTMR10	C14orf105	CD79A
SLC9A9-AS1	TTTY18	RPS27A	PTPRU	KLF13	BTBD19	LOC283587	POF1B
MIR2110	TTLL9	PHF12	RNF113A	GUSBP11	RRAGB	XPNPEP3	ADAM19
OR6C3	CROCCP2	ANKS6	IFT172	CAMK1D	ZDHHC7	MRPL13	UBE2M
ATAD5	LOC100129794	C1QB	CARS2	RPL13AP20	TCOF1	C17orf70	P4HTM
ZSCAN23	KCNAB1-AS2	LOC100505839	SOGA1	PDE4D	EPM2AIP1	GRAMD1A	RWDD2A
GGNBP1	OR5V1	SLC25A23	FAM86B1	NIPBL	ZMPSTE24	SPATA24	ARSB
ZNF720	MID1IP1	AK7	HIST2H2AC	SLAMF1	RIC8B	C9orf69	GHRL
SHPRH	HHIP	CYP4Z1	PMS1	CBL	GPATCH11	LOC284757	FBXL12
FLJ22447	MIR29A	CYP2C18	ALKBH3	PPP6R1	PEX11B	MYOZ3	BMS1P6
CALCA	LINC00202-1	ZNF860	ERCC8	PPP1R2	ZNF134	VEZF1	ABHD5
SDR42E1	C1orf192	ZSCAN23	RABL2B	LDHD	MDH1B	LOC286297	FUS
TAS2R14	SHF	TCF24	ZMYND12	TTC23	XRRA1	PATE2	ASB3
FAM219B	LOC100128076	TEC	CLTB	ZNF92	PMS2P4	RTCA	MARCO
ABHD1	EPCAM	RALYL	STRADA	MSH3	PFKP	ZNF709	SH2B1
ZNF846	ADAM1A	PAK7	SEC24B	VPS37B	RPP25L	RPL21P44	IL20RB
BIRC5	PADI3	CERS6	PDLIM7	SLC41A3	NQO1	LIN7C	STK35
HIST1H4I	C20orf166	POTED	SLC35F5	TRIM22	PXMP2	ULBP1	KCTD9
FBXO33	PRSS33	RPS11	RNH1	EGOT	LOC100507217	MIB1	PRDM6
SNORD15A	NXPE4	6-Mar	NRSN2	TNFSF8	NOSIP	IL1RL1	FAM160A2
GRM2	AADACL2	OR51G1	MIR181A2HG	CCM2	CNPY3	LOC401052	MAN2B2
CALB1	SNORD103A	DDX11L9	GOSR2	LOC400927	DGKQ	HYLS1	RANBP6
SAMD1	SNORD103B	STRC	ESCO1	ERP44	FOXK2	DNTTIP1	BTBD7
FAM101B	IGDCC4	USP15	RHPN2	C1orf56	DCAF13	ZSWIM7	HINFP
PROKR1	SFTA1P	MFSD5	VPREB3	PIP5K1B	SP3	TMEM130	SRI
C1orf110	HMGCLL1	OR10C1	SLC30A5	KIF21B	GLO1	CORO7-PAM16	RNF38
MIR3661	CGB8	ATXN1L	SYNJ2BP	FLYWCH1	BANF1	OR5P3	SF3B14
FANCI	PTGES3L-AARSD1	PTPRZ1	ALKBH5	P4HTM	LOC100505918	LRRC27	PTCH2
ADNP2	LOC653160	AIDA	ZFYVE1	CCDC97	AP2M1	DHX15	PRCC
PARN	KIF2B	TNN	C11orf57	MLLT3	DNAJA1	FAM86B1	BANK1
MRGPRX1	MIR1236	OR7A17	FAM109B	LRRC34	C15orf38-AP3S2	DNAJC24	FAM58A
EPHA4	SH2D5	GABRP	TMEM68	LRRC37A4P	PIAS1	LOC90499	DCLRE1B
KARS	LOC728218	TIRAP	CXCR4	ANKRD32	SRSF3	MYBL1	CCDC144A
ELAC2	OR4C6	RPL36A	TXNRD1	HEATR5B	FBXO18	SLC30A5	BBS9
HPSE	KRT39	KLHL4	KLF11	ABCB1	DHH	ZSCAN20	SCARF2
ANKRD61	H2AFB2	CYB561	LTB	DERL3	DHX33	SELO	FLRT3
ARHGEF4	LINC00633	IGSF6	HOOK2	FOXO1	GLT25D2	DHX36	CD79B
ZNF32-AS2	MIR3136	ZNF484	AIP	IL27RA	NFAT5	POLI	ZFP91-CNTF
SGOL1-AS1	TSPYL6	OR8H2	VPRBP	CYP2D6	NUCKS1	STK35	CNTROB
PRB3	HNRNPA1P10	LOC730811	TCL1A	ARID1B	NCAM2	LOC154092	ZC3H18
RDH5	MIR765	MAGEB16	EHMT2	ZCCHC18	BAK1	DBF4B	TMEM110
SH3GL1P1	MIR4648	OR4C16	SSBP3	ACVR2B	RNF214	ARNTL2	ANO7
KIAA0141	LOC100287879	TACC2	FECH	MEIG1	BCKDHA	KIAA1683	UQCC
LOC81691	FOXD4L1	ADCYAP1R1	WFDC1	ZNF292	GEMIN4	WFDC8	STARD13-AS
LOC100507300	LINC00607	SPICE1	BCL11A	JMJD1C	BTBD1	FEM1A	HOXD10
AAGAB	LCE3A	KIAA1715	AKR1E2	SRSF7	MED20	TEX101	BLMH
TTK	CRTC1	UBTD2	IFT81	TIFA	TCF7L1	FAM161B	CCDC71L
ACADVL	SNORD23	STK4-AS1	FYCO1	CYLD	PPP3R1	MRPL11	HMSD
DPH3	MAP2K4P1	FAM22A	UBE3C	KLRB1	MTERFD1	SULT1C2P1	AXIN2
HUS1B	TTPA	ZNF836	TMEM187	ANKRD36	UNC5C	ZNF394	FAR2
LOC643714	ZNF699	C14orf39	MIPOL1	KDM5D	MAN1A2	CABP5	LOC642929
PRSS53	C1orf95	PRKG2	LATS2	ACVR2B-AS1	CDC37L1	PABPC1P2	GUSB
ZCCHC18	KIAA1958	ASPH	CCDC138	ABCD2	IPO11	HERC6	SETMAR
MIR5091	ZMYND10	AFAP1-AS1	FSTL5	CDK5RAP2	PIAS2	OTUD6A	RRM2B
NARFL	CAPN9	IFITM10	FAM72B	TTC24	TNFRSF10C	SYNPO2L	SPG21
SNORA37	CRISP3	OR4S1	THG1L	SGK223	WDR35	DLX6-AS1	ENDOV
SNORA65	DDX10	CFTR	PPWD1	FAM179A	LOC255512	FKTN	ZNF571
MED17	PRSS16	OR52I1	SCRIB	NETO1	UBE2Z	SLC25A51	DNM3
C1orf200	NXPH3	FAM81A	ANKHD1-EIF4EBP3	CNOT1	MBLAC2	C1orf106	PIGZ
OPN1SW	ZNF705B	BRWD3	RNF187	KDM2B	RHPN1	KIAA1656	IGLL5
CREB3L3	JARID2	DPP4	C5orf34	LAX1	PPP3CA	RFK	SCG2
CUZD1	LANCL3	OR6B1	TIMP2	CNKSR2	WTAP	ZNF529	FADD
KIF14	STK31	REXO1L2P	SSRP1	GLTSCR1L	GAGE4	ZNF180	STS
JHDM1D	ANKRD66	CYP3A7-CYP3AP1	ZBED4	LOC100505679	TMEM222	LOC646278	SMYD3
GINS2	PRL	RSU1P2	CD22	KRBOX1	EPHX4	REREP3	ZNF727
MYOD1	PLEKHA8P1	CAMK2A	KIAA1586	KCNH8	ENPP5	FAM86B3P	ZNF8
FOXB1	MIR4324	TMEM100	PPP1R14B	NBPF24	BORA	LOC729970	ECD
NBN	LRRC24	SH3BGRL2	C1QTNF9B-AS1	U2AF1L4	DGAT1	LINC00672	TSPYL4
FAM201A	ADH1A	MRGPRX4	NSMCE1	LINC00426	NR2C1	TADA2A	PLK2
SGPP1	BRCA2	LINC00575	TBC1D22A	SLFN12L	OR56A1	ELOF1	CD19
C1orf227	CLMP	SEZ6L	ANAPC10	RFX3	RICTOR	C9orf78	GIPC1
NSG1	MATN1	OR6K2	ORAOV1	TCEA2	ZBTB9	LOC286184	SERTAD3
MIR941-1	PKP1	GPR98	ABHD14A-ACY1	BOD1L1	TMEM164	LOC100505817	MAML2
TMEM221	CAMK2B	BRPF1	PPARGC1A	MTMR1	ANKRD20A4	LOC648987	ANKRD13B
ADCY4	SFT2D3	GRIA1	CAMSAP2	MATN1-AS1	U2SURP	SELRC1	GABRD
CSTF2	LOC100506655	DLEC1	PPIG	CCDC18	NHP2L1	WASH5P	KLHL35
TYR	MAMSTR	HCK	GTF2IRD1	ZNF697	HNRNPAB	DCP1A	DMRT3
COMTD1	KRT33B	NPAS3	UBA1	ZMYM2	ATP6AP1L	GNE	SH3BP2
RORC	CACNA1C-AS1	AKR7L	ECHDC3	LINC00324	NGFR	KIAA0101	MAPK8IP3
PDE7A	FLJ22763	S1PR5	BCL2L2-PABPN1	NAPSA	RPS6KA3	C2CD2	STON1-GTF2A1L
LINC00398	DUSP8	ARMCX4	AIFM2	TIMD4	ZBTB41	SLC35E3	LRRC40
ZNF671	MIR4295	GPR55	RAB24	LOC728407	AKAP6	ZNF512B	ZNF84
TAS2R50	MSMB	ZC3H12A	BLOC1S5	LIMD1-AS1	DSCR3	MCMDC2	CEACAM21
HIST1H2BL	CHEK2	UGT2A1	LBX2-AS1	TMEM66	C1S	MRPL2	C1orf64
SOAT2	LOC100130357	MAGEB18	THAP1	SF1	MIA-RAB4B	SLC30A4	LYSMD1
LRRC16B	BRSK2	TNFRSF11B	SAMD4B	ZNF391	TMEM69	ZNF20	KTN1-AS1
KRTAP10-12	LRFN5	PPP2R2C	CEP57L1	VAMP2	UACA	CHAC2	NTF3
SNORD119	MYL2	TRIM55	HOXD8	AIM1	VWA5A	CEP170B	VPREB3
SLC30A3	HIST1H3F	LOC100132354	LOC100506963	WHSC1L1	MAP2K7	PDE12	WIPF2
UCKL1	FAM25B	MYO1C	HLA-DOB	ZNF585A	CDK17	LOC100652772	DDX23
TMEM42	FAM25G	OR5J2	PDS5B	LY75	ZNF75A	FAM134A	EDC4
C6orf211	FAM25C	GSTM2P1	PMP2	ARHGDIB	MFSD2A	GOLGA2	USP45
LOC100289092	SNAR-A10	MYO18B	ZNF500	ZNF418	NDUFB4	LOC100287846	TCL1A
C9orf106	CPZ	YPEL2	C14orf101	ATP8A1	PWP2	LRRC3	FAM71A
ARHGEF7	SHROOM3	KCNIP4-IT1	UBE2Q1	TXLNB	LYPLA2	LINC00574	XPO1
KBTBD13	GAGE12F	OR56B4	ZNF790-AS1	MPHOSPH9	ALX1	ZNF503-AS1	BCL11A
ZNF614	FAM184A	PAPPA	LRRCC1	DIAPH1	RAD51D	SLC5A5	ZNF175
DLST	KAAG1	C1orf226	HENMT1	TNIP3	KCTD15	CRAMP1L	TRIM33
MIR491	CIDEC	MRAP2	GLMN	ZNF79	TBL1XR1	TRIM16L	EIF2AK2
HLA-DPB1	PGA5	COQ7	OAZ3	BCL9	TMEM218	CHST1	LOC100506178
ATG9A	MIR1914	ZNF816	VEZT	HLA-A	STXBP6	ZNF844	HSF2
TMEM9B-AS1	TM6SF2	ANGEL1	ZBTB21	PLCXD2	CCDC126	LOC399715	KIF26A
UBE2C	VSIG10L	PILRA	CDC42SE1	DOCK10	ZKSCAN1	CD55	TMEM233
STYX	BCRP2	CDH1	FAM120C	APOBEC3D	ZC4H2	JPH4	C10orf25
MCM2	MIR626	OR6A2	FYTTD1	SYNE1	SPINK5	RASSF8	HIF1AN
ZNF541	SNORD58A	PCK1	BBS12	KDM5A	ARHGAP6	ZKSCAN5	NDUFS4
DHX36	NGB	CCP110	RBMXL1	ZNF217	NCDN	KIAA0087	FAM57A
GTPBP2	BANF2	SLC5A1	C1orf27	DUSP16	GPATCH2	UBAC2	CD22
KIF4A	MORN5	VSIG4	SELT	GTF2H1	CKS1B	ZNF311	MXRA7
PRSS8	UGT2A1	SPATA6L	RPAP2	TRAF3	SLC35E2B	LOC554206	FSIP1
GPR108	SPINT4	OR10R2	LDB3	SNORA10	ZFX	CACNB1	HDGF
RNF216-IT1	VCY1B	SHANK3	FLVCR1-AS1	GLS2	RILPL1	PVT1	GSPT1
CDKL2	KCNV1	SYT2	TCFL5	MIR5047	SRP14	LOC642929	SF3B2
STX5	ZNF592	ART5	R3HCC1L	KIAA2018	MEPCE	TOR4A	HLA-DOB
CHRNE	LOC100507377	SLC5A9	BMP1	PLCL2	SPICE1	IPPK	SLC38A7
FAM66D	ATP1A1	LOC100129858	APPL1	ATMIN	RRN3	TMED10P1	LOC100271722
C21orf91-OT1	SNORD30	OR9A2	DUS1L	FLJ10038	ZNF679	ZNF491	ZFP91
KDM5B	DAOA-AS1	SPOCK3	SUCO	LOC254100	ZNF664	SLC1A2	SLC17A5
SNORD67	SNORD88A	LOC285819	COG4	BPTF	ASB8	OPA3	FLJ27352
MRPL38	LCORL	CLEC10A	AP3B1	TTC39B	GNA12	GTF2H2C	DHRS4L1
SALL2	MIR570	SLFN12	PELI3	AHDC1	PRDX1	GLTP	KCNJ15
GPR63	LOC730441	OR1S2	EPB41L4A-AS1	SNORA6	SNRNP200	BMI1	FCER2
BRPF1	SNAR-A6	OPALIN	ALG12	LAIR2	TBX15	LOC100130000	LRFN4
CXXC11	GLTPD2	SRCIN1	C1orf52	AKAP11	SKP2	RHPN2	ZSCAN26
GGTLC1	GDF15	LOC729080	IFT74	RASGEF1A	ZBTB33	PRKAR1A	EVI5
NUDT2	CLVS1	TMEM202	EVA1B	MEA1	LIF	LOC100132741	ZFP112
OR52B2	COX8C	CREG2	PPDPF	BIRC6	FDXR	FLJ46446	FAM200B
CSF2	LOC100129027	IL1B	SEPW1	LRRC37A	ZSWIM7	FAM106CP	BPHL
UBE2Q2	SOX11	ALOX15	EXT2	MAPK10	VCX3B	NDUFS1	PTPN11
LOC441454	LOC100499183	EARS2	SETD6	STS	MRPL1	USP32P1	CLOCK
CIRBP-AS1	LINC00208	HIVEP2	ZC3H7A	PGAM2	GCFC2	SKP1P2	STAP1
AHSP	MAATS1	OR51B4	UFSP1	HIST2H2BC	SYCP3	CHRM3	FCRL1
UBE3B	CRLF2	LOC729950	CNP	UPF2	GNPDA2	KIF14	ASAH2B
CBX3P2	ANKRD31	DUSP27	C1orf159	KCNA3	SSBP4	UXS1	POM121L9P
RPA1	SCRN3	TTI2	SNX33	ERGIC1	DNAJC8	OPRM1	LINC00657
PSD	IGSF9	USP17L9P	UBQLN1	DOPEY1	TMEM110	LRRN3	SMAD5
C1orf68	PPP5D1	OVOL1	ZNF618	PHTF2	SLC50A1	STIL	PLA2G12A
TMEM57	PRAMEF9	XYLT1	TSPAN9	SEC31B	ACTR5	C11orf71	VASH2
TAS2R41	MIR1537	ZSCAN12P1	KIF18A	CDC14A	KLHL42	MTFR1	LOC100134259
MTOR-AS1	GH2	MKNK1-AS1	DCUN1D4	ZCWPW1	DRAM2	LOC93622	USP25
EPN3	MAP3K10	CDH12	PAK1	ZFC3H1	AKR7A2	FUT4	PIEZO2
CAPN6	COL4A2-AS1	KATNAL2	CCR7	RPAP1	SUMF1	TMEM68	ZNF322
DGCR5	SDHAF1	TBC1D2	TMEM88	OXNAD1	CEP290	ADM2	H1F0
GJA8	PSG8	C9orf84	PPP2CB	FLJ40292	B3GNT3	ALG10	CLASP2
ZNF32-AS1	CT62	RAB6C	PLAC8	MIB1	ZNF181	ZNF195	BLK
SLC4A10	LTB4R2	LIMCH1	STXBP6	TACC3	ZNF174	LOC151475	CR2
KIRREL2	C8orf12	OR5C1	TYW3	CRLF3	NADSYN1	FLJ25363	MNT
ANKRD55	MIR548AN	CD163	FCER2	KLRG1	HSF2	ZNF865	CNR2
BECN1	OR4D11	C1QTNF7	DHRSX	STK10	CLCF1	ANKRD20A8P	CXCR5
MAP6D1	HTN1	DAOA	IDH1-AS1	ZNF600	EIF2S1	WDR92	C11orf68
CABLES2	FAM218A	OR9K2	FAM50B	LOC202181	BCL9	ING5	RANBP9
KIF24	MIR593	FCN1	KIAA0907	ZBTB40	ATG4D	MLLT4-AS1	PAX5
OR6C74	DRAXIN	HSP90B2P	HS2ST1	INTS6	TVP23C-CDRT4	KLRF1	ZNF740
MIR2467	SPARC	GABRA4	PTPRG	USP20	PVR	ZNF544	RPL37A
CENPI	ANKRD53	EMBP1	CLDN1	SNORA33	SETD9	ZNF605	FAM129C
CDCA2	C1orf172	OR2B3	RHOA	SLC7A6	GTPBP3	FAM74A2	EEF1B2
LSM14B	SPSB4	RPS4X	MFSD1	RAB39B	SEC16B	PIN4P1	TCEB3
MED9	LPHN3	SLC17A2	GTF3C4	SNORA27	PLEKHH2	KCTD18	NCS1
MYNN	C20orf85	C6orf10	EIF4G3	YTHDC2	INE1	MORN4	PNMAL2
DKFZP686I15217	ABCG8	PRSS12	HEXIM2	ZNF711	C16orf93	STEAP2	CCDC174
MIR4324	TMEM132E	GRM5	C9orf69	PSIP1	DDRGK1	FLJ30838	HSPE1-MOB4
LOC100287177	SNORD58B	NAP1L3	C19orf73	MLL2	IQGAP1	LOC100996455	RNF152
PRMT10	ZNF692	SCAND3	PGBD1	NDUFS3	TAF1B	SENP5	TNFSF11
ELOVL4	CACNA1H	IFNA10	SLC35B4	HIST1H3A	PBX3	ELOVL2-AS1	P2RX5
ENDOG	SNORD116-2	PSG10P	PORCN	ZNF821	SPATA24	ZNF365	CNPPD1
A2MP1	ORM2	KRT17	TTC23	TAF5L	ING1	FCF1	CAPN11
UGP2	LOC100128554	VDR	CPSF2	FANCD2	ARL2	RFWD3	IGLL3P
NCRNA00185	MIR4665	FLJ46257	WDR35	CKAP2	RAD21	CCP110	RPL10A
RSC1A1	FLJ45079	CMYA5	FAIM3	ORAI2	CLDN7	AGAP1	PER1
HOXA10-HOXA9	PCP2	NPNT	DCUN1D5	LOC100130093	SH3RF3	LRRC20	RPSA
BTBD11	TRNP1	EHHADH-AS1	SCYL1	MVK	CTAGE4	UBE2Q2P2	KCNJ18
SV2A	GP5	MS4A3	DHPS	FLJ31306	SLC25A23	TRIM16	RPL18
DKFZP434H168	ATP2A1	EPHA7	ORC2	REC8	MAGEH1	KLLN	DDX43
HAS3	INF2	KIAA1644	SEMA6D	PCED1B-AS1	ZFAND6	UCA1	LOC729739
HAR1B	MEGF11	UNC79	NOMO2	STAT5B	ARHGEF12	NCS1	GOLGA8S
C1orf131	GJA9	FCGR1A	AMIGO3	KIF2A	CNOT4	ZNF416	C10orf88
MORF4L2-AS1	MIR548Y	OR52H1	PHF13	SNHG12	TLK2	KL	SNX29P1
C20orf118	THRB-AS1	C11orf80	STAP1	PDCD6IP	CUL5	KCNJ3	RPL12
SAMSN1-AS1	QPCT	MIR1301	FCRL1	NPM1	ORAI1	DIS3L	UHRF1BP1
ATP8B2	TMOD2	TEX14	NUP214	LSM12	NCAPG2	NAGPA-AS1	FAU
ANKRD36BP2	C5orf38	C3AR1	RMND1	ARHGEF10L	FKBP1B	CACNG8	MON2
FAM46D	STK16	ARHGAP20	VRK3	TBX21	PHYHIP	B3GALT2	ZNF618
ARMC6	LCE1A	REG4	GRIA4	NBPF16	VPS54	DCDC5	SMAD7
CCNF	MIR5001	DAPK2	ISCA1	TMEM185A	SLC25A26	LOC283683	IGLL1
TBKBP1	HMGB4	C9orf152	COBLL1	SPDYE1	CCBL1	KIAA0753	SLC38A5
ITFG2	SLC23A3	STARD4	EIF4EBP3	MAN2A1	AXIN2	GINS3	RALGPS2
TBC1D3H	FEZF1	OR10A3	CLDN12	ZBTB25	DDX20	ABHD12B	ANAPC15
FAM74A3	PSMA8	GNAT1	HIST1H2AC	KPNA5	TRIT1	MRPL23	ELK2AP
ACTR6	GDF7	DOCK3	ZNF589	PRKCQ-AS1	FAM133A	MTSS1L	REST
PANX3	AHCTF1P1	E2F3	CORO2B	GPS1	PCDHB17	ZC3H12B	RPL23
SMARCC1	SYT7	FANCE	ST13	NBPF9	ACOX3	AARD	RPS17L
C6orf147	NLGN4Y	EMILIN2	CC2D1A	GLYATL1	NRM	EYA3	RPS17
8-Mar	SERPINB5	TEX15	RPS5	ACTR3C	C21orf7	ANXA2P1	SNHG11
PSEN1	SLCO5A1	PRMT10	CPA2	CADM4	KIAA1644	GPR78	RPL35
FBXL19	FAM221B	VSTM2A	HSPA5	VPS13B	FAHD2A	FAM227A	ZNF582
TRIM42	CPSF7	NMNAT3	ST7L	CYP2R1	NQO2	PI4KAP1	C10orf54
PROB1	LOC100132831	ANKRD26	PEX1	ELK4	C11orf31	PWWP2A	FCRL5
MSH5-SAPCD1	MIR631	SKAP1	C15orf57	SBF1	HOXB9	ELOVL6	CLEC17A
JSRP1	CRYBA1	OR6Y1	ZNF503-AS2	KIF20B	VEZT	ARIH1	UNC13A
C1orf192	ZBBX	C16orf46	TCEA3	TREML2	ASB4	ZFAT	GALNT4
SPSB2	C17orf50	PEG3	STAP2	CBR4	ZNF514	UPK1B	PLEK2
ZRANB2-AS1	DACT3-AS1	C11orf21	HOXA4	DMTF1	HIST2H2AA3	DLEU2	MCM3
PITRM1-AS1	KPNA7	FOXJ2	GRTP1	RASA4CP	HIST2H2AA4	LOC442132	MTF2
LOC100506134	PANX3	MCCC2	TPST1	RPL13AP3	PCYT1A	TMEM170B	RPS7
HSFX2	FLJ42289	SCAF11	ZNF343	ABCA7	CHML	ZDHHC11	ZNF311
EDDM3B	MIR1279	TTC3P1	CD52	C5orf45	DLEU1	METTL20	SRSF10
DNAJC8	NECAB1	LINC00271	DDTL	SLC25A45	ARNT	FAM106A	GPN1
CCNC	OR12D2	WNT4	PPFIBP1	CCSER2	VEGFB	LOC284950	FCRL2
ZNF645	OR11L1	FPR1	LOC283663	ZNF154	TRAPPC9	DUX2	CDK11B
OR2M7	MIR943	LILRB4	TBCC	COL4A4	ZNF391	KIAA1875	CCIN
STK35	TOPAZ1	THNSL1	OXCT2	KIAA1407	FAM203A	XRCC2	CCNYL1
RAD50	XDH	GUCY1A2	EEF1B2	BZRAP1-AS1	CMTM5	PTCH2	MMP15
CIR1	FITM1	SCN2A	BLK	RNF38	INPPL1	DGCR11	ALDH1A3
LIG1	RFXAP	HEPHL1	CR2	PIKFYVE	FAM220A	BRPF3	FAM45B
LINC00469	PAK6	LINC00277	EEFSEC	EFCAB4B	CLDN4	TRMT10A	BRF1
C5orf34	DRD3	ADARB1	RELA	SPATA31A3	INPP1	LOC100129269	KIAA0922
IQSEC1	LINC00571	ATAD2B	REXO4	SLC27A2	LOC401321	ZNF114	RPS2
SLC2A14	SNORD15A	ARRDC4	DPP9	LIPE	SUMO1	POP1	PRKDC
UNC5B-AS1	SCGB2B2	KCNK6	TRIP10	APOBEC2	AKR1C1	NKD1	RPS5
EAF1	FAM228B	CCDC66	ZFAND2B	PDE7A	ENSA	SMYD4	SERPINB2
ENOPH1	VWDE	LCE6A	CNR2	PNPLA7	SACS	SCD5	PCDHB14
RNU6-71	F11	CDRT7	CXCR5	USP34	SLC2A8	NFS1	SNX7
SPIN2A	C10orf25	FAM22D	C17orf100	ROCK1	DOK4	GOLGA6L6	ERC1
DCP1A	RGS17	OR10Q1	TMA7	MAML2	BOP1	DKK2	TNFRSF13B
SNORD12B	MYL4	C3orf43	MCU	LOC100134259	DDX52	MESTIT1	ZNF346
RNF25	C6orf195	AOX2P	LACTB	FNDC9	ZNF30	PIH1D3	RPL24
MIR4755	PPYR1	AGPAT4-IT1	TOR1B	TTC9	FLRT3	KLB	COMMD10
RNASE8	SCARF2	KIAA1755	HOXD-AS2	LOC100506195	USP16	SCN11A	FAM177B
MIR3662	APOC3	LOC100130264	CSTF3	RFFL	MSX1	WNK4	RPL22
LCE1B	RAPSN	FAM102B	RPRD1B	MAP3K4	UBE2Q1	LYPD3	ABCC1
JUND	ARHGEF15	OR56A1	NAB2	NDOR1	BAG6	ZC3HAV1L	RPS26
MIR3618	OSTCP1	ZNF812	MYH14	USP7	BMP1	SLC25A34	DACT2
ELP4	GPRASP2	LOC151009	ALDOA	MCTP2	THUMPD2	LARS2-AS1	C16orf74
MIR766	CEACAM7	LINC00851	PDCD2	S1PR4	HOXA3	MGC32805	HMGCS1
RIBC2	NEUROG2	POF1B	RNF128	FAM107B	PPM1L	LOC100009676	IL4R
S100A5	KRT79	DNM3	CCDC169	DUS4L	ZC3H11A	TGFB1	RPL26
UHRF1	PLCE1	ARMS2	FAM210B	MALT1	ZNF438	TRMT10C	NAPRT1
MAGEB4	SPATA8	APPBP2	PAX5	HIST1H4A	PHYH	FBXL19-AS1	USP9X
DIRAS3	LGALS4	ATF5	NOP14	PPM1K	DCP1A	DSCR3	NACAD
IFNA7	UGT1A8	LMOD2	TYSND1	LIMD1	ERMP1	C14orf80	NPEPL1
ENTPD5	VSNL1	PRAMEF14	GAS5-AS1	DENND5B	DYX1C1-CCPG1	TMEM169	CENPB
LINC00272	C8orf69	ANKRD20A8P	ATP6V1F	NIN	COMMD3-BMI1	NDUFAF1	RPL14
